sample_id,image,text,label,cleaned_text
17694,17694.jpg,17694.txt,positive,The 34th annual #Vancouver #Film fest starts on Sept. 24th. Join the conversation at #VIFF
17870,17870.jpg,17870.txt,positive,"This #Healthcare #job might be a great fit for you: Registered Nurse - #Edmonton, AB"
19783,19783.jpg,19783.txt,negative,Just paused at the right moment. #yyc
6436,6436.jpg,6436.txt,negative,#AppleMusic IS A TERRIBLE DISASTER. APPLE MUSIC IS A STORMING SUCCESS #streaming #radio #music
10792,10792.jpg,10792.txt,negative,"Liars, liars pants on fire, #CanadaPost, it's 23:40 ... And..."
12868,12868.jpg,12868.txt,negative,#Breaking: Plane crashes in Stoney Creek in a field off 6th Road. #HamOnt
22862,22862.jpg,22862.txt,positive,Quick affordable lunch. The CAVU bento lunch.
6104,6104.jpg,6104.txt,positive,Can you recommend anyone for this #job? Travel RN needed - OR (Operating Room) - #Nursing
6049,6049.jpg,6049.txt,positive,"#Rochester, NY #Nursing #Job: RN / Registered Nurse /... at Supplemental Health Care"
17588,17588.jpg,17588.txt,positive,Who would take this for a spin? #porsche #cayman #vancouver #surrey #whiterock #detail #splashes #explore #roadtrip
21198,21198.jpg,21198.txt,negative,from and I :))
17851,17851.jpg,17851.txt,positive,#Edmonton businesses learn how to reduce your #telecom costs. Free SIP & Socialize event! More
20100,20100.jpg,20100.txt,positive,It's Wednesday #Ottawa!
10042,10042.jpg,10042.txt,negative,Look at what other countries are doing to help. #cdnpoli
21291,21291.jpg,21291.txt,negative,So the VIP portion of 's show at has been canceled. I'm incredibly disappointed...
12911,12911.jpg,12911.txt,positive,"Monarch Caterpillar, found along the trail in the peninsula at Princess Point Park #HamOnt #caterpillars #monarchs"
19130,19130.jpg,19130.txt,negative,can't imagine the world if Woodstock would have been cancelled due to a little rain! Shame on you #yyc
15340,15340.jpg,15340.txt,positive,See a virtual tour of my listing on #504 - 35 SARANAC BLVD #Toronto #ON #realestate
17933,17933.jpg,17933.txt,positive,Niall casually walking around with his guitar #OTRAEdmonton #MTVHottest One Direction ?? #VoteFor1D
9846,9846.jpg,9846.txt,negative,Why is #Harper hiding the$2millioN donors to his party leadership race? Hes corrupt. GR8 #HAIRGATE THO #cdnpoli
13301,13301.jpg,13301.txt,positive,Custom painting completed for a memorial. Artist Jenn Swarthout of #art #painting #ArtistToWatch
18466,18466.jpg,18466.txt,negative,"#Montréal, %49 #Quebecois consider themselves as a separate #country in case they even can not manage a #city #quebec"
21218,21218.jpg,21218.txt,positive,Glad to be here! #MotorCityGETS #MotorCityZone
22690,22690.jpg,22690.txt,positive,This made my whole week.
3613,3613.jpg,3613.txt,negative,as if #cdnpoli #elxn42
17683,17683.jpg,17683.txt,negative,"#lizardlake fire on #vancouverisland now at 325 hectares, 20% contained: … #yyj #cowichan"
11864,11864.jpg,11864.txt,negative,Yesterday was a busy day at Zoe's. Here's a glimpse --> #yeg #yegrescue (JOIN US!)
22562,22562.jpg,22562.txt,positive,#Happy #IndependenceDay to my lovely #TriniTweeps either by birth or osmosis..Same #Love
9908,9908.jpg,9908.txt,negative,#harper's tone is increasingly guilty and desperate as it shd be #cdnpoli #elexn42
15336,15336.jpg,15336.txt,negative,Ashbridges Bay Skate Park #Toronto Canada Flow Some #photoshop fun :) #sk8 #skatepark #photography
8676,8676.jpg,8676.txt,negative,put that tongue away Clifford #ShesKindaHotVMA
5008,5008.jpg,5008.txt,positive,Taking a break from one love (#TIFF15) to enjoy another (#craftbeer)! #BeerExperience
9362,9362.jpg,9362.txt,positive,But remember when rted 2. Bc the 2nd album is going 2 blow minds #ShesKindaHotVMA
9790,9790.jpg,9790.txt,negative,Pamela Wallin case prompts more unwelcome questions for Stephen Harper #cdnpoli
17690,17690.jpg,17690.txt,negative,Wind storm chaos in #vancouver this is unreal! #Windcouver #apocalypse
3473,3473.jpg,3473.txt,negative,1/5 young people have mental health problems. Few get help. #NDP are leading the way to change that. #elxn42
3328,3328.jpg,3328.txt,negative,The best description of 's personality & character I've seen to date! #vote #CPC OUT #elxn42 #cdnpoli
8435,8435.jpg,8435.txt,positive,"Missing my brown eyed baby, happy #NationalDogDay Nugs????"
10951,10951.jpg,10951.txt,positive,His fun service was amazing! #RyanReynolds #Ryan #tiff #TorontoFilmFestival #Canada #Toronto #2015 #RedCarpet
3221,3221.jpg,3221.txt,negative,There's another one... #cdnpoli #elxn42
10339,10339.jpg,10339.txt,positive,#AmberAlert RT! SHARE at #Canada #abduction #findHailey LET'S FIND HER!
3880,3880.jpg,3880.txt,positive,Hello invites you to exhibit in our #JobFair #TrainingExpo #Mississauga
6339,6339.jpg,6339.txt,positive,#HillaryClinton Dazzles with Spectacular #Musical Number. Considers #Broadway Over #Politics. #Hillary2016 #captions
2913,2913.jpg,2913.txt,negative,Joe Oliver Discovered Rotting in a prison of his own making #cdnpoli #elxn42
17246,17246.jpg,17246.txt,positive,"I saw a moment in something, out of nothing, and captured it #photography #snapshot #xperia #Vancouver"
3898,3898.jpg,3898.txt,positive,"Want to work at 84 Lumber? We're #hiring in #Millersport, NY! Click for details: #Job"
11027,11027.jpg,11027.txt,positive,"Day 222: #Tombstone NP, one of the best in #Canada, the #colours make the #landscape a breathtaking place #traveltips"
8115,8115.jpg,8115.txt,positive,My babies #NationalDogDay
7585,7585.jpg,7585.txt,positive,It's #NationalDogDay and guess who is rocking a #DayAtTheWoods?
2653,2653.jpg,2653.txt,negative,Angry #Toronto resident reminded local candidate to ask first before putting sign up #greenparty #cdnpoli #elxn42
15880,15880.jpg,15880.txt,positive,The view from lunch a short time ago. Not bad! #toronto
22623,22623.jpg,22623.txt,negative,"Good morning everyone, love ya ??"
2758,2758.jpg,2758.txt,negative,If abortion is a settled issue in #Canada than why people get upset w/images of abortion? #elxn42 #GPC #VoteGreen
10105,10105.jpg,10105.txt,negative,We cant afford this continuing into the future #stopharper #Harper #cdnpoli
4734,4734.jpg,4734.txt,positive,Such an honour speaking with spokes on the #Youth red carpet! Interview coming soon. #TIFF15
2804,2804.jpg,2804.txt,negative,"perhaps instead of just focusing on C51, get Mulcair to debate Indig issues/rights & ans below #elxn42"
19763,19763.jpg,19763.txt,negative,They're playing Welcome to the Jungle. It's amazing. #harperrallyyyc
12626,12626.jpg,12626.txt,negative,Crew is cleaning up blood on scene at Jackson Square #HamOnt #OnlyinHamilton #HamiltonPolice
21648,21648.jpg,21648.txt,positive,YASSSSS!!! SHE'S the sun!! Can't wait to see /Mer shine this season! #TGIT
3192,3192.jpg,3192.txt,negative,"#elxn2015 Shameless campaigning by Chris Alexander on CBCNN interviews today. No integrity, no heart... no answers"
3786,3786.jpg,3786.txt,positive,This #Nursing #job might be a great fit for you: RN / Registered Nurse / Travel Nurse -
14335,14335.jpg,14335.txt,positive,Who wants to #win $50 #walmart or PayPal #cash? Enter here
12043,12043.jpg,12043.txt,negative,No fun! #ableg #yeg
13816,13816.jpg,13816.txt,negative,#CallMeCarter please
18762,18762.jpg,18762.txt,positive,Some of our lovely #BigBikeBBQ volunteers! Tickets are $10. Lunch at 12. All proceeds to the #YYC #MRU
21745,21745.jpg,21745.txt,positive,Sums up our night
9941,9941.jpg,9941.txt,positive,Proud to be with & who are working hard to bring #RealChange to Canada & #DVW #cdnpoli
12063,12063.jpg,12063.txt,negative,Light rain and mist is reducing the visibility here #yeg #yegwx
8110,8110.jpg,8110.txt,negative,Bronx we love you ? #HappyNationalDogDay #Rottweiler
6767,6767.jpg,6767.txt,positive,Want hot music downloads on #eatingndastreets #Hiphop #music #dope
12163,12163.jpg,12163.txt,positive,"Hey, #MobileDevelopers! Have you heard? #yeg #yyc"
11941,11941.jpg,11941.txt,negative,#rebootwhyte #yegtraffic #yegtransit slow going eastbound on Whyte
12736,12736.jpg,12736.txt,positive,"Chimney Swift. Also tough to photograph: small, fast, flies high & never lands (except in chimneys!). Dundas #HamOnt"
12018,12018.jpg,12018.txt,negative,#Cancer claims . 35-year old Ryan Soneff #HeatBaseballTeam say goodbye #YegCC
9337,9337.jpg,9337.txt,negative,The Canadian Toronto poster is sick. I'll need to print it off bc I never got it but that's alright #ShesKindaHotVMA
15143,15143.jpg,15143.txt,positive,Bringing that #shine back ? #black #cars #shiny #reflection #hood #autodetail #wash #clean
15468,15468.jpg,15468.txt,positive,#TIFF #throwback 2013 to glamming the beautiful miss #juliettebinoche #toronto #filmfestival #redcarpet #tbt
9914,9914.jpg,9914.txt,negative,One for the #NewDepressionParty #cdnpoli #elexn2015
21529,21529.jpg,21529.txt,negative,this shit on Google play store so it's obviously out
12415,12415.jpg,12415.txt,negative,Copper wire thieves at West Harbour Station caught on camera. #HamOnt
20885,20885.jpg,20885.txt,positive,OMG Nash how are you keeping up with all these beautiful fans??? #SelfieForNash Well here's meeee!! X2
14662,14662.jpg,14662.txt,negative,Love this green gown on #EstherWilliams #ThrillOfARomance #TCMparty #LetsMovie
6364,6364.jpg,6364.txt,positive,we had a great time! #imthewinnernotcam #greatmusic
20312,20312.jpg,20312.txt,positive,panorama of & during the concert #OTRAottawa
16171,16171.jpg,16171.txt,positive,#OTRAToronto bout to be littttttttttt ?? ay
12590,12590.jpg,12590.txt,positive,Mohawk Kicks off Soggy OCAA Varsity Schedule #HamOnt #HTMountaineers #OCAA
13348,13348.jpg,13348.txt,negative,#conceptart They better call me CANDY! #kaceytron #gamedev #animation #DigitalMarketing #art #design #comics
20206,20206.jpg,20206.txt,positive,Loving the new venue for at Lansdowne. #DailyPhoto #MyOttawa
22301,22301.jpg,22301.txt,negative,Spoiling myself in the am
9866,9866.jpg,9866.txt,negative,#KinderMorgan never replanted the trees they said they would & scrubbed the promise to from website #bcpoli #cdnpoli
4828,4828.jpg,4828.txt,positive,Director of the #TIFF15 opening night film 'Demolition' Jean-Marc Vallee w
17854,17854.jpg,17854.txt,positive,"; so if in #Edmonton...invite all #Esks fans to """"GET LOST"""" #EdmontonWeekends"
9028,9028.jpg,9028.txt,negative,when You join the fam Luke and Michael drag you down to hell #ShesKindaHotVMA
17115,17115.jpg,17115.txt,negative,Poor #MiniCooper #Vancouver #summerstorm
21572,21572.jpg,21572.txt,positive,Tonight....we celebrate. Salud!
7777,7777.jpg,7777.txt,positive,My Girl! #NationalDogDay
18727,18727.jpg,18727.txt,positive,"We were at #pawsintheparkyyc today, keeping all of our thirsty four-legged friends like Stella hydrated!"
22167,22167.jpg,22167.txt,negative,“: No chick flick will ever be as sad as this movie Honestly ????
17114,17114.jpg,17114.txt,positive,"Lunch #Vancouver (@ Nando's Flame-Grilled Chicken in Vancouver, BC)"
8983,8983.jpg,8983.txt,negative,i feel uncomfortable #ShesKindaHotVMA
21036,21036.jpg,21036.txt,negative,#SelfieForNash ???? not the best pic but doing this just for you
12608,12608.jpg,12608.txt,negative,How well do you know your #hamont ? Where is this and when was it built?
15579,15579.jpg,15579.txt,negative,Get schooled with #NakedGirlsReading #Toronto! ?? Sept 19 6pm #torontoevents #the6ix #yyz #queenwest
11508,11508.jpg,11508.txt,negative,Fog in the river valley. Drive carefully as you enter the bridges #yeg #abroads via
14207,14207.jpg,14207.txt,negative,YAY!! Back to school shopping and this was a priority!! ????. #StartHere
3462,3462.jpg,3462.txt,negative,The only way to deal with the #TommunistManifesto trolls is to answer them with #HeilHarper #cdnpoli #elxn42 #polcan
11395,11395.jpg,11395.txt,positive,The last bike lap of the elite women's race. Great Britain's Vicky Holland finished 1st. #CBC #yeg
11670,11670.jpg,11670.txt,negative,How many people actually wanted a sign? Hear you've been putting them up without permission #yeggriesbach
10082,10082.jpg,10082.txt,positive,Canadian Union of Postal Workers on ‘#StopHarper’ cross-country RV tour: #cdnpoli #canlab
18770,18770.jpg,18770.txt,positive,BSF MOM's love some OH's #whilethekidsaresleeping #futurestrong #yyc #fitmums #doingitforthekid #mymomsstronger
18398,18398.jpg,18398.txt,negative,The Shameful secret of #science truth #Montreal
8658,8658.jpg,8658.txt,positive,RT for Luke Hemmings #ShesKindaHotVMA
3670,3670.jpg,3670.txt,positive,The Hair Apparent #elxn42 #polqc
19965,19965.jpg,19965.txt,positive,Happy #Pride #Ottawa ?????? #feministfriday #ottpride
9051,9051.jpg,9051.txt,negative,@ people who aren't voting #ShesKindaHotVMA
10013,10013.jpg,10013.txt,negative,deceives his constituents while promoting a dictator Real bottom feeder #cdnpoli
8574,8574.jpg,8574.txt,positive,Worth getting up at 6:30 #5SOSonGMA #ShesKindaHotVMA
7072,7072.jpg,7072.txt,positive,#livemusic #openjam #september2015 we start !
8866,8866.jpg,8866.txt,negative,"#ShesKindaHotVMA for all the people who have tweeted """"#ShesKidnaHotVMA"""" ??????"
21487,21487.jpg,21487.txt,negative,college jokes/suicidal thoughts
19479,19479.jpg,19479.txt,positive,"Winter's already here in #yyc. It's okay, let's warm up our soul and body with a plate of duck benny"
5477,5477.jpg,5477.txt,positive,So happy I got to see pick up win no 100 today! #Congratulations #ComeTogether #BlueJays
6269,6269.jpg,6269.txt,positive,Looking for something to do in #Halifax Sept 10-13? Check for #CCMA #CountryMusicWeek info.
12198,12198.jpg,12198.txt,negative,"How you Sunday looking, mines a little screwed. Stop by Shell Shock for your high Sunday needs #yeg #sunday #dabs"
13311,13311.jpg,13311.txt,positive,Writing myself notes for tomorrow morning ?? #starbucks #proudtobeapartner
9114,9114.jpg,9114.txt,positive,We are the KINGS and the QUEENS of the new broken scene #ShesKindaHotVMA
20103,20103.jpg,20103.txt,positive,The final game of their first season in #ottawa ! Great & popular 1st season!
9758,9758.jpg,9758.txt,negative,Harper's multiple year Miley Cyrus moment. #cdnpoli
12154,12154.jpg,12154.txt,positive,Do YOU like rainy days in your Mustang? #yeg
5387,5387.jpg,5387.txt,positive,#bluejays it's our 18th anniversary 22 years together that's half my life :) section 119 row 25 seats 10-11
18595,18595.jpg,18595.txt,negative,SB Beddinton Trail is very slow moving from Stoney trail to Country Hills Blvd #yyctraffic
13877,13877.jpg,13877.txt,positive,Let's go #AllHeartEsks
13022,13022.jpg,13022.txt,positive,The top ten songs downloaded by Canadians from 2011 to 2014: #HamOnt
22791,22791.jpg,22791.txt,negative,Wrong is never inevitable.....
16961,16961.jpg,16961.txt,positive,This crazy old Gnome has been rocking this garden for decades! #gnome #betweenarock #toronto
12532,12532.jpg,12532.txt,positive,Mainly sunny Wednesday in Hamilton: DayStarter Weather. #HamOnt
9689,9689.jpg,9689.txt,negative,Mulcair will waste country's time when there is no time to waste! #cdnpoli
8312,8312.jpg,8312.txt,positive,"An 1889 greeting card, in tribute to #NationalDogDay"
14496,14496.jpg,14496.txt,negative,FEAR THE WALKING DEAD #FearBeginsHere #FearTWDPremiere Excited. Who's with me? #FearTWD
3603,3603.jpg,3603.txt,negative,What's wrong ... #elxn42 #polqc
3628,3628.jpg,3628.txt,negative,Conservatives view migrants as criminals. #cdnpoli #elxn42
21610,21610.jpg,21610.txt,negative,pretty much stared at this all day.
4995,4995.jpg,4995.txt,positive,At last night's premiere of #Freeheld. Definitely watch this movie! #TIFF15
12409,12409.jpg,12409.txt,negative,Suspect in HSR driver stabbing found dead. #HamOnt
21004,21004.jpg,21004.txt,negative,#SelfieForNash I'm Nicole and I love waffles??????
12441,12441.jpg,12441.txt,positive,Please join us also on Facebook. Thanks - #HamOnt #OnlyinHamilton #Ticats #Bulldogs
9426,9426.jpg,9426.txt,positive,can you guess who is who ? (im in the middle of course) #ShesKindaHotVMA #ASK5SOS x3
17950,17950.jpg,17950.txt,positive,"Donna, un grand petite fan VW. Donna, a big little VW fan. #spin&win #centrevillevw #montreal"
19289,19289.jpg,19289.txt,negative,Forgot to post this when I was going to work at 530am but yes..that's snow. #yyc #calgary #alberta
3394,3394.jpg,3394.txt,positive,Earle McCurdy will vote in 2015 because he is ready for real change! #uniforcc #nlvotes & #elxn42
19060,19060.jpg,19060.txt,positive,Aubs begging Stef to get into #FreshLife #yyc #ChurchOnAThursday?
22771,22771.jpg,22771.txt,negative,"Cum to/at my next live webcam show this Saturday, August 29th at 2pm Pacific / 5pm Eastern. ;-)"
6133,6133.jpg,6133.txt,positive,"Can you recommend anyone for this #Nursing #job? #Edmonton, AB #Hiring"
11996,11996.jpg,11996.txt,negative,Ripped my toenail off to get this picture. #yeg #UAlberta #diditforartclass
6571,6571.jpg,6571.txt,positive,"Just sharing LOVE an A #Music #Cover """"LADY"""" MyGarage2U. …"
3663,3663.jpg,3663.txt,negative,NDP is new Conservative! #elxn42
8627,8627.jpg,8627.txt,negative,#ShesKindaHotVMA why not
17947,17947.jpg,17947.txt,positive,"Good day #WTSEdmonton ! Bike to Kinsmen swimming pool and swim done for the day , now #coffee . #JetLagged"
15686,15686.jpg,15686.txt,negative,#Customs at #YYZ. Packed in like sardines and nothing is moving. What's going on??? #Toronto
19085,19085.jpg,19085.txt,positive,Full house at #yyc conference #workplacebullying
13172,13172.jpg,13172.txt,negative,"#WarrenMI - #MacombCounty - #OaklandCounty - Fix Red Run ?? - Actually DREDGE , remove dirt ?"
11894,11894.jpg,11894.txt,negative,"#yegbike Probably #stolen #bmx bike locked outside my building. Go down 115 St, N of Jasper to view."
14632,14632.jpg,14632.txt,negative,Sadly I would not buy again for my #kindergarten girl. Destroyed worse than any shoes so far.
3109,3109.jpg,3109.txt,negative,#NDP Tax hikes #elxn42 #polqc
8611,8611.jpg,8611.txt,positive,Everyone's got their demons even wide awake or dreaming ?? #SoundsGoodFeelsGood #JetBlackHeart #ShesKindaHotVMA
14533,14533.jpg,14533.txt,positive,?? Keep dreaming ?? #DoodleArt #sketchbook #sketch #doodle
22113,22113.jpg,22113.txt,positive,Had the most amazing squash tacos from #fresh #lunch #toronto
13660,13660.jpg,13660.txt,negative,Today at 1:30 I'll be playing back to school sale! <3 #BackToHogwarts
21594,21594.jpg,21594.txt,negative,getting new tires
11483,11483.jpg,11483.txt,negative,Pretty things at HQ ?? thanks to for the custom painting! #yegarts #yeg #yeghistory
9167,9167.jpg,9167.txt,negative,oops they're all gone #sorrynotsorry #ShesKindaHotVMA
18905,18905.jpg,18905.txt,positive,Best twitter convo I'll see in my feed today... #yyc
17738,17738.jpg,17738.txt,negative,#ThrowbackThursday don't let #Vancouver #WindStorm stop u from hosting #ButlersKitchen Aug29 #poweroutage ????
20136,20136.jpg,20136.txt,positive,A dreamy crescent moon on a cool evening. #Ottawa #moon #summer
4848,4848.jpg,4848.txt,positive,"After a late night working @ the #TIFF15 Opening Night Party, was so fun to read the Memory Wall. Can you spot mine?"
2718,2718.jpg,2718.txt,negative,"The fundamental flaws in the Canadian health care system, Dr. David Naylor #cmagc #elxn42"
2931,2931.jpg,2931.txt,negative,Gen. Hillier chastises for their extreme anti-Harper ad #elxn42 #cdnpoli
18656,18656.jpg,18656.txt,negative,This is how you lose your #mancard #yyc #fashionfail come on guys... put some effort into dressing.
3034,3034.jpg,3034.txt,negative,Mandryk: Tories show lack of compassion #spnews #news #elxn42
20880,20880.jpg,20880.txt,positive,last time and I'm giving up ?? excuse my smile #SelfieForNash
9794,9794.jpg,9794.txt,negative,never mind temporarily suspend your campaign. Stop all together you do not represent #canada #cdnpoli
19679,19679.jpg,19679.txt,negative,The AER has issued a suspension order to Nexen re 95 pipelines due to non-compliance at Long Lake facility #yyc
12540,12540.jpg,12540.txt,negative,Car rolls over to avoid real estate sign on Burlington Skyway. #HamOnt
15264,15264.jpg,15264.txt,negative,Spending Labor Day weekend in Canada. #Toronto
14843,14843.jpg,14843.txt,positive,Making some final touch ups before on our Super Mario installation piece! #techartfusion
8891,8891.jpg,8891.txt,negative,Y R UR LIPS SO BIG AND PLUMP AND FLUFFY #ShesKindaHotVMA
22600,22600.jpg,22600.txt,negative,Holy shit is so bad at driving
11155,11155.jpg,11155.txt,negative,If abortion is a settled issue in #Canada than why people get upset with images of abortion?#Harper #Trudeau #Mulcair
14121,14121.jpg,14121.txt,positive,Our classroom for the night #bartending101 #yelpevent
12615,12615.jpg,12615.txt,negative,BREAKING: City charges 8 people for driving for . #HamOnt
10889,10889.jpg,10889.txt,negative,#Syria & Iraq Now you focus on your 10 year wrecked #Canada economy & not so much on your fear campaign?!
22748,22748.jpg,22748.txt,negative,#MySecretScandal i'm starting to grow feathers -help b4 anyone finds out my duck lips have spread to my body
2692,2692.jpg,2692.txt,negative,Vote Conservative Patrick Brown TODAY if you live in #SimcoeNorth!! #onpoli #elxn2015
18904,18904.jpg,18904.txt,negative,"Fireside chat, complete with smoke. #smbyyc67"
10701,10701.jpg,10701.txt,negative,If abortion is a settled issue in #Canada than why people get upset with images of abortion? #Ready4Change! #miNDP
18469,18469.jpg,18469.txt,positive,| M O N T R E A L | Always a Pleasure #Night #Montreal #Photo #2015 #blackandwhitephotography
18750,18750.jpg,18750.txt,positive,Stash is open every Sunday! See you crafty peeps tomorrow! #yyc #Calgary #ininglewood #knit #crochet
6678,6678.jpg,6678.txt,positive,Want hot music downloads on #eatingndastreets #Hiphop #music #dope
17468,17468.jpg,17468.txt,positive,Loving this new view behind my apartment. #Vancouver
2664,2664.jpg,2664.txt,negative,Remember this? #cdnpoli #polqc #fed2015 #elxn42 #LPC on ISIS
